CSU|Statement %|Statement covered|Statement Out of|Branch %|Branch covered|Branch Out of|MCDC %|MCDC covered|MCDC Out of
 Rsp_Mcwa_Di| Prepare_Output_Msg                                     | 100,0%|7|7 |       | ||       | |
 Rsp_State| Calculate_Delta_Change                                 | 100,0%|12|12| 100,0%|3|3 |       | |
 Rsp_State| Set_Baroset_Hg_Pressure                                | 100,0%|3|3 | 100,0%|1|1 |       | |
 Rsp_State| Calculate_Baroset_Hg_Pressure                          | 100,0%|14|14| 100,0%|5|5 |       | |
 Serial_Rs485| Put_Data                                               | 100,0%|8|8 | 100,0%|1|1 |       | |
 Serial_Rs485| Set_Iff_Burst                                          | 100,0%|1|1 |       | ||       | |
 Serial_Rs485| Set_Iff_Info                                           | 100,0%|1|1 |       | ||       | |
 Serial_Rs485| Port_Is_Enabled                                        | 100,0%|9|9 | 100,0%|1|1 |       | |
 Serial_Rs485| Write_Output_Serial                                    | 100,0%|12|12| 100,0%|2|2 |       | |
 Sync_1553_Manage| Calculate_Sync_Checksum                                | 100,0%|5|5 |       | ||       | |
 Sync_1553_Manage| Check_Sync                                             | 100,0%|10|10| 100,0%|2|2 | 100,0%|5|5 
 Time_Mngr| Set_Operative_Timestamp                                | 100,0%|1|1 |       | ||       | |
 Time_Mngr| Retrieve_ETI                                           | 100,0%|9|9 | 100,0%|1|1 |       | |
 Time_Mngr| Get_ETI                                                | 100,0%|1|1 |       | ||       | |
 Time_Mngr| Mission_Time                                           | 100,0%|10|10| 100,0%|1|1 |       | |
 Time_Mngr| Mission_Time                                           | 100,0%|9|9 | 100,0%|1|1 |       | |
 Time_Mngr| Operative_Time                                         | 100,0%|4|4 | 100,0%|1|1 |       | |
 Time_Mngr| Operative_Time                                         | 100,0%|1|1 |       | ||       | |
 Time_Mngr| Has_Time_Elapsed                                       | 100,0%|1|1 |       | ||       | |
 Time_Mngr| Time_Elapsed                                           | 100,0%|4|4 | 100,0%|1|1 |       | |
 Time_Mngr| Get_Year_Kind                                          | 100,0%|4|4 | 100,0%|1|1 | 100,0%|3|3 
 Transaction_Tables| Check_Rate                                             | 100,0%|7|7 |       | ||       | |
 Transaction_Tables| To_Tsap_BC_Subaddress                                  | 100,0%|3|3 | 100,0%|1|1 | 100,0%|2|2 
 Trims_State| Get_Wing_Flap_Supply_Voltage                           | 100,0%|7|7 | 100,0%|2|2 |  75,0%|3|4 
 Trims_State| Set_Wing_Flap_Supply_Voltage                           | 100,0%|2|2 |       | ||       | |
 Trims_State| Get_Wing_Flap_Position                                 | 100,0%|7|7 | 100,0%|2|2 |  75,0%|3|4 
 Trims_State| Set_Wing_Flap_Position                                 | 100,0%|2|2 |       | ||       | |
 Trims_State| Get_Wing_Flap_Symmetry                                 | 100,0%|2|2 |       | ||       | |
 Trims_State| Set_Wing_Flap_Symmetry                                 | 100,0%|2|2 |       | ||       | |
 Trims_State| Get_Term_Wing_Flap_Position_Percent                    | 100,0%|23|23| 100,0%|4|4 | 100,0%|5|5 
 Wrap_Manage| Get_Wrap_Around_Table                                  | 100,0%|1|1 |       | ||       | |
 Wrap_Manage| Process_Wrap_Input_Msg                                 | 100,0%|6|6 | 100,0%|1|1 |       | |
 Wrap_Manage| Prepare_Wrap_Output_Msg                                | 100,0%|4|4 | 100,0%|1|1 |       | |
 Wrap_Manage| Reset_Wrap                                             | 100,0%|4|4 |       | ||       | |
 Yoke_State| Get_Yoke_Hush_Button                                   | 100,0%|9|9 | 100,0%|2|2 | 100,0%|4|4 
 Yoke_State| Set_Yoke_Hush_Button                                   | 100,0%|2|2 |       | ||       | |
